Data Riferimento;Macrozona;Sbil aggregato zonale [MWh];Segno aggregato zonale;Scambi [MWh];Estero [MWh];Prezzo base;Componente incentivante;Prezzo di sbilanciamento
02/08/2025 09:00;SUD;-2,244;-;30,938;-17,396;173,064;0;173,064
02/08/2025 09:15;NORD;50,718;+;54,177;1.403,87;83,449;0;83,449
02/08/2025 09:15;SUD;49,224;+;-54,177;-19,963;87,115;0;87,115
02/08/2025 09:30;SUD;71,982;+;-126,863;-17,032;84,597;0;84,597
02/08/2025 09:30;NORD;67,56;+;126,863;1.339,38;82,073;0;82,073
02/08/2025 09:45;SUD;93,113;+;-193,69;-19,779;81,894;0;81,894
02/08/2025 09:45;NORD;84,141;+;193,69;1.328,70;69,528;0;69,528
02/08/2025 10:00;NORD;64,359;+;238,242;1.041,84;70,413;0;70,413
02/08/2025 10:00;SUD;-19,159;-;-238,242;-41,337;169,123;0;169,123
02/08/2025 10:15;NORD;79,279;+;249,287;955,226;82,12;0;82,12
02/08/2025 10:15;SUD;3,004;+;-249,287;-43,494;81,648;0;81,648
02/08/2025 10:30;SUD;36,971;+;-295,563;-45,855;82,512;0;82,512
02/08/2025 10:30;NORD;181,402;+;295,563;901,17;82,279;0;82,279
02/08/2025 10:45;SUD;101,055;+;-337,871;-44,77;66,727;0;66,727
02/08/2025 10:45;NORD;201,393;+;337,871;954,756;81,707;0;81,707
02/08/2025 11:00;NORD;-7,873;-;442,429;710,223;286,127;0;286,127
02/08/2025 11:00;SUD;80,536;+;-442,429;-46,084;48,991;0;48,991
02/08/2025 11:15;NORD;29,87;+;463,338;606,158;83,001;0;83,001
02/08/2025 11:15;SUD;101,742;+;-463,338;-54,126;35,648;0;35,648
02/08/2025 11:30;SUD;70,687;+;-429,041;-52,583;39,398;0;39,398
02/08/2025 11:30;NORD;131,549;+;429,041;573,171;80,367;0;80,367
02/08/2025 11:45;SUD;85,526;+;-446,069;-44,666;46,446;0;46,446
02/08/2025 11:45;NORD;149,229;+;446,069;565,822;80,197;0;80,197
02/08/2025 12:00;NORD;55,168;+;406,057;532,759;85,234;0;85,234
02/08/2025 12:00;SUD;31,969;+;-406,057;-55,973;54,492;-29,492;25
02/08/2025 12:15;NORD;175,586;+;340,024;515,799;83,942;0;83,942
02/08/2025 12:15;SUD;-18,723;-;-340,024;-54,629;167,255;0;167,255
02/08/2025 12:30;SUD;-61,776;-;-303,458;-54,292;162,417;0;162,417
02/08/2025 12:30;NORD;289,37;+;303,458;452,795;80,36;0;80,36
