MTU (CET/CEST);Generation - Solar [MW] Day Ahead/ Italy (IT);Generation - Solar [MW] Intraday / Italy (IT);Generation - Solar [MW] Current / Italy (IT);Generation - Wind Offshore [MW] Day Ahead/ Italy (IT);Generation - Wind Offshore [MW] Intraday / Italy (IT);Generation - Wind Offshore [MW] Current / Italy (IT);Generation - Wind Onshore [MW] Day Ahead/ Italy (IT);Generation - Wind Onshore [MW] Intraday / Italy (IT);Generation - Wind Onshore [MW] Current / Italy (IT)
02.01.2025 05:00 - 02.01.2025 05:15;0;N/A;0;n/e;n/e;n/e;764;787;n/e
02.01.2025 05:15 - 02.01.2025 05:30;0;N/A;0;n/e;n/e;n/e;780;783;n/e
02.01.2025 05:30 - 02.01.2025 05:45;0;N/A;0;n/e;n/e;n/e;788;792;n/e
02.01.2025 05:45 - 02.01.2025 06:00;0;N/A;0;n/e;n/e;n/e;798;771;n/e
02.01.2025 06:00 - 02.01.2025 06:15;0;N/A;0;n/e;n/e;n/e;806;786;n/e
02.01.2025 06:15 - 02.01.2025 06:30;0;N/A;0;n/e;n/e;n/e;798;786;n/e
02.01.2025 06:30 - 02.01.2025 06:45;0;N/A;0;n/e;n/e;n/e;811;782;n/e
02.01.2025 06:45 - 02.01.2025 07:00;0;N/A;0;n/e;n/e;n/e;823;765;n/e
02.01.2025 07:00 - 02.01.2025 07:15;0;N/A;0;n/e;n/e;n/e;856;787;n/e
02.01.2025 07:15 - 02.01.2025 07:30;1;N/A;8;n/e;n/e;n/e;888;845;n/e
02.01.2025 07:30 - 02.01.2025 07:45;24;N/A;28;n/e;n/e;n/e;897;887;n/e
02.01.2025 07:45 - 02.01.2025 08:00;135;N/A;134;n/e;n/e;n/e;909;908;n/e
02.01.2025 08:00 - 02.01.2025 08:15;540;N/A;532;n/e;n/e;n/e;886;722;n/e
02.01.2025 08:15 - 02.01.2025 08:30;1017;N/A;976;n/e;n/e;n/e;737;731;n/e
02.01.2025 08:30 - 02.01.2025 08:45;1468;N/A;1463;n/e;n/e;n/e;690;731;n/e
02.01.2025 08:45 - 02.01.2025 09:00;2073;N/A;2076;n/e;n/e;n/e;674;661;n/e
02.01.2025 09:00 - 02.01.2025 09:15;2702;N/A;2686;n/e;n/e;n/e;597;537;n/e
02.01.2025 09:15 - 02.01.2025 09:30;3243;N/A;3235;n/e;n/e;n/e;654;585;n/e
02.01.2025 09:30 - 02.01.2025 09:45;3830;N/A;3824;n/e;n/e;n/e;756;622;n/e
02.01.2025 09:45 - 02.01.2025 10:00;4364;N/A;4378;n/e;n/e;n/e;758;561;n/e
02.01.2025 10:00 - 02.01.2025 10:15;4865;N/A;4841;n/e;n/e;n/e;748;592;n/e
02.01.2025 10:15 - 02.01.2025 10:30;5299;N/A;5225;n/e;n/e;n/e;820;588;n/e
02.01.2025 10:30 - 02.01.2025 10:45;5634;N/A;5524;n/e;n/e;n/e;824;793;n/e
02.01.2025 10:45 - 02.01.2025 11:00;6055;N/A;5876;n/e;n/e;n/e;884;817;n/e
02.01.2025 11:00 - 02.01.2025 11:15;6331;N/A;6125;n/e;n/e;n/e;938;834;n/e
02.01.2025 11:15 - 02.01.2025 11:30;6390;N/A;6263;n/e;n/e;n/e;911;908;n/e
02.01.2025 11:30 - 02.01.2025 11:45;6543;N/A;6392;n/e;n/e;n/e;921;847;n/e
02.01.2025 11:45 - 02.01.2025 12:00;6683;N/A;6591;n/e;n/e;n/e;911;851;n/e
02.01.2025 12:00 - 02.01.2025 12:15;6678;N/A;6578;n/e;n/e;n/e;1045;957;n/e
02.01.2025 12:15 - 02.01.2025 12:30;6659;N/A;6508;n/e;n/e;n/e;1244;1145;n/e
02.01.2025 12:30 - 02.01.2025 12:45;6557;N/A;6439;n/e;n/e;n/e;1422;1342;n/e
02.01.2025 12:45 - 02.01.2025 13:00;6487;N/A;6356;n/e;n/e;n/e;1810;1769;n/e
02.01.2025 13:00 - 02.01.2025 13:15;6388;N/A;6279;n/e;n/e;n/e;1650;1845;n/e
02.01.2025 13:15 - 02.01.2025 13:30;6140;N/A;6047;n/e;n/e;n/e;1726;1740;n/e
02.01.2025 13:30 - 02.01.2025 13:45;5889;N/A;5825;n/e;n/e;n/e;1805;1962;n/e
02.01.2025 13:45 - 02.01.2025 14:00;5484;N/A;5456;n/e;n/e;n/e;1863;1982;n/e
02.01.2025 14:00 - 02.01.2025 14:15;5111;N/A;5063;n/e;n/e;n/e;1922;2122;n/e
02.01.2025 14:15 - 02.01.2025 14:30;4583;N/A;4554;n/e;n/e;n/e;1962;2161;n/e
02.01.2025 14:30 - 02.01.2025 14:45;4133;N/A;3968;n/e;n/e;n/e;1930;2266;n/e
02.01.2025 14:45 - 02.01.2025 15:00;3550;N/A;3421;n/e;n/e;n/e;1940;2243;n/e
02.01.2025 15:00 - 02.01.2025 15:15;3015;N/A;3014;n/e;n/e;n/e;2029;2239;n/e
02.01.2025 15:15 - 02.01.2025 15:30;2425;N/A;2436;n/e;n/e;n/e;2330;2219;n/e
02.01.2025 15:30 - 02.01.2025 15:45;1817;N/A;1849;n/e;n/e;n/e;2210;2167;n/e
02.01.2025 15:45 - 02.01.2025 16:00;1220;N/A;1265;n/e;n/e;n/e;2011;1959;n/e
02.01.2025 16:00 - 02.01.2025 16:15;721;N/A;770;n/e;n/e;n/e;1935;1997;n/e
